WeekEndDate,LTLA,Lineage,Count,day,lat,lon
2020-09-05,E09000024,B.1.177,1,1.0,51.41058,-0.18868
2020-09-05,E09000025,B.1.177,6,1.0,51.53149,0.027261
2020-09-05,E09000026,B.1.177,2,1.0,51.58588,0.070085
2020-09-05,E09000027,B.1.177,2,1.0,51.44035,-0.28914
2020-09-05,E09000028,B.1.177,6,1.0,51.465939,-0.07308
2020-09-05,E09000030,B.1.177,2,1.0,51.515541,-0.03647
2020-09-05,E09000032,B.1.177,9,1.0,51.4524,-0.20021
2020-09-05,E09000033,B.1.177,4,1.0,51.512211,-0.15295
2020-09-12,E06000001,B.1.177,11,8.0,54.67614,-1.27018
2020-09-12,E06000002,B.1.177,8,8.0,54.54467,-1.21099
2020-09-12,E06000003,B.1.177,1,8.0,54.56752,-1.00608
2020-09-12,E06000004,B.1.177,2,8.0,54.556911,-1.30664
2020-09-12,E06000006,B.1.177,11,8.0,53.33424,-2.68853
2020-09-12,E06000007,B.1.177,9,8.0,53.391628,-2.56167
2020-09-12,E06000008,B.1.177,1,8.0,53.700802,-2.4636
2020-09-12,E06000014,B.1.177,1,8.0,53.96582,-1.07375
2020-09-12,E06000018,B.1.177,1,8.0,52.954189,-1.16667
2020-09-12,E06000020,B.1.177,1,8.0,52.714169,-2.48941
2020-09-12,E06000021,B.1.177,1,8.0,53.017071,-2.15888
2020-09-12,E06000024,B.1.177,1,8.0,51.39706,-2.75438
2020-09-12,E06000031,B.1.177,1,8.0,52.59214,-0.26874
2020-09-12,E06000033,B.1.177,1,8.0,51.549171,0.706923
2020-09-12,E06000035,B.1.177,1,8.0,51.44772,0.563174
2020-09-12,E06000036,B.1.177,3,8.0,51.411301,-0.73363
2020-09-12,E06000038,B.1.177,1,8.0,51.453018,-0.99071
2020-09-12,E06000041,B.1.177,1,8.0,51.422958,-0.89935
2020-09-12,E06000042,B.1.177,1,8.0,52.072411,-0.7407
2020-09-12,E06000047,B.1.177,3,8.0,54.685131,-1.8405
2020-09-12,E06000049,B.1.177,2,8.0,53.167931,-2.29299
2020-09-12,E06000050,B.1.177,2,8.0,53.163361,-2.70298
2020-09-12,E06000054,B.1.177,1,8.0,51.328831,-1.92661
2020-09-12,E06000055,B.1.177,1,8.0,52.196281,-0.45463
2020-09-12,E06000058,B.1.177,4,8.0,50.74609,-1.84807
2020-09-12,E06000059,B.1.177,2,8.0,50.79697,-2.41467
2020-09-12,E07000006,B.1.177,1,8.0,,
2020-09-12,E07000034,B.1.177,1,8.0,53.255749,-1.40115
2020-09-12,E07000061,B.1.177,1,8.0,50.773869,0.258516
2020-09-12,E07000065,B.1.177,1,8.0,50.93322,0.205156
2020-09-12,E07000070,B.1.177,1,8.0,51.735031,0.491177
2020-09-12,E07000078,B.1.177,1,8.0,51.898609,-2.07515
2020-09-12,E07000092,B.1.177,3,8.0,51.278149,-0.76807
2020-09-12,E07000093,B.1.177,1,8.0,51.134171,-1.50214
2020-09-12,E07000095,B.1.177,1,8.0,51.720798,-0.05073
2020-09-12,E07000098,B.1.177,1,8.0,51.680168,-0.26899
2020-09-12,E07000113,B.1.177,1,8.0,51.32251,0.776893
2020-09-12,E07000117,B.1.177,1,8.0,53.774059,-2.2308
2020-09-12,E07000118,B.1.177,1,8.0,53.672401,-2.61921
2020-09-12,E07000121,B.1.177,1,8.0,54.07901,-2.6603
2020-09-12,E07000128,B.1.177,1,8.0,53.89991,-2.80359
2020-09-12,E07000129,B.1.177,2,8.0,52.577061,-1.19887
2020-09-12,E07000130,B.1.177,1,8.0,52.739899,-1.13694
2020-09-12,E07000154,B.1.177,5,8.0,52.237751,-0.88121
2020-09-12,E07000165,B.1.177,1,8.0,54.07708,-1.58161
2020-09-12,E07000169,B.1.177,3,8.0,53.733269,-1.12908
2020-09-12,E07000172,B.1.177,4,8.0,52.972099,-1.25944
2020-09-12,E07000175,B.1.177,1,8.0,53.1096,-0.94643
2020-09-12,E07000177,B.1.177,3,8.0,51.887199,-1.28506
2020-09-12,E07000178,B.1.177,2,8.0,51.753571,-1.24405
2020-09-12,E07000179,B.1.177,1,8.0,51.622879,-1.07847
2020-09-12,E07000181,B.1.177,1,8.0,51.839901,-1.50292
2020-09-12,E07000188,B.1.177,2,8.0,51.19186,-2.88246
2020-09-12,E07000194,B.1.177,1,8.0,52.696152,-1.76049
2020-09-12,E07000207,B.1.177,3,8.0,51.360981,-0.39441
2020-09-12,E07000209,B.1.177,1,8.0,51.253658,-0.56257
2020-09-12,E07000211,B.1.177,1,8.0,51.258461,-0.19871
2020-09-12,E07000212,B.1.177,5,8.0,51.392731,-0.53855
2020-09-12,E07000213,B.1.177,2,8.0,51.41552,-0.46254
2020-09-12,E07000216,B.1.177,1,8.0,51.15686,-0.62343
2020-09-12,E07000228,B.1.177,2,8.0,51.059528,-0.10272
2020-09-12,E07000240,B.1.177,4,8.0,51.77356,-0.3407
2020-09-12,E07000241,B.1.177,1,8.0,51.760872,-0.18518
2020-09-12,E07000243,B.1.177,1,8.0,51.905392,-0.18987
2020-09-12,E08000001,B.1.177,5,8.0,53.584492,-2.47952
2020-09-12,E08000002,B.1.177,2,8.0,53.593102,-2.3088
2020-09-12,E08000003,B.1.177,3,8.0,53.470089,-2.23359
2020-09-12,E08000004,B.1.177,1,8.0,53.557678,-2.05274
2020-09-12,E08000005,B.1.177,1,8.0,53.60741,-2.14784
2020-09-12,E08000006,B.1.177,1,8.0,53.479271,-2.38485
2020-09-12,E08000008,B.1.177,3,8.0,53.478668,-2.077
2020-09-12,E08000010,B.1.177,2,8.0,53.51445,-2.57247
2020-09-12,E08000011,B.1.177,10,8.0,53.437881,-2.83297
2020-09-12,E08000012,B.1.177,41,8.0,53.408298,-2.91364
2020-09-12,E08000013,B.1.177,16,8.0,53.458618,-2.7031
2020-09-12,E08000014,B.1.177,10,8.0,53.482101,-2.99177
2020-09-12,E08000015,B.1.177,11,8.0,53.374779,-3.06701
2020-09-12,E08000016,B.1.177,1,8.0,53.525768,-1.54925
2020-09-12,E08000019,B.1.177,2,8.0,53.40358,-1.54254
2020-09-12,E08000021,B.1.177,1,8.0,55.021011,-1.65297
2020-09-12,E08000023,B.1.177,5,8.0,54.969879,-1.44679
